num_farmers,farmer_id,farmer_shapley,actual_area,avg_shapley,core_stable,blocking_probability,is_convex,convexity_violation_rate,aggregator_profit,roi,total_project_profit,run_id,fpo_id
2,F00118,4680.451698400591,2.2,4680.451698400591,True,0.0,True,0.0,5485.8,9.143,18286.0,0,FPO_B
2,F00200,4680.451698400591,2.2,4680.451698400591,True,0.0,True,0.0,5485.8,9.143,18286.0,0,FPO_B
3,F00118,13248.161916228593,9.379999999999999,27322.701228449052,True,0.0,False,0.027777777777777776,22111.8,14.452156862745099,73706.0,0,FPO_B
3,F00200,15054.456865572545,9.379999999999999,27322.701228449052,True,0.0,False,0.027777777777777776,22111.8,14.452156862745099,73706.0,0,FPO_B
3,F00159,53665.484903546014,9.379999999999999,27322.701228449052,True,0.0,False,0.027777777777777776,22111.8,14.452156862745099,73706.0,0,FPO_B
4,F00118,14694.070688839085,10.94,28339.980829446296,True,0.0,False,0.051470588235294115,26677.2,13.680615384615384,88924.0,0,FPO_B
4,F00200,17286.791420362028,10.94,28339.980829446296,True,0.0,False,0.051470588235294115,26677.2,13.680615384615384,88924.0,0,FPO_B
4,F00159,60778.81118168525,10.94,28339.980829446296,True,0.0,False,0.051470588235294115,26677.2,13.680615384615384,88924.0,0,FPO_B
4,F00178,20600.250026898822,10.94,28339.980829446296,True,0.0,False,0.051470588235294115,26677.2,13.680615384615384,88924.0,0,FPO_B
5,F00118,16180.733735793247,12.53,30177.814858262514,True,0.0,False,0.05303030303030303,32176.199999999997,15.322,107254.0,0,FPO_B
5,F00200,19294.19212475479,12.53,30177.814858262514,True,0.0,False,0.05303030303030303,32176.199999999997,15.322,107254.0,0,FPO_B
5,F00159,66570.8106365253,12.53,30177.814858262514,True,0.0,False,0.05303030303030303,32176.199999999997,15.322,107254.0,0,FPO_B
5,F00178,23214.082754218765,12.53,30177.814858262514,True,0.0,False,0.05303030303030303,32176.199999999997,15.322,107254.0,0,FPO_B
5,F00015,25629.25504002047,12.53,30177.814858262514,True,0.0,False,0.05303030303030303,32176.199999999997,15.322,107254.0,0,FPO_B
6,F00118,18107.089242021113,15.27,34033.29874769273,True,0.0,False,0.03798076923076923,40155.6,17.16051282051282,133852.0,0,FPO_B
6,F00200,21629.07272204667,15.27,34033.29874769273,True,0.0,False,0.03798076923076923,40155.6,17.16051282051282,133852.0,0,FPO_B
6,F00159,72189.15385880144,15.27,34033.29874769273,True,0.0,False,0.03798076923076923,40155.6,17.16051282051282,133852.0,0,FPO_B
6,F00178,26006.756252039668,15.27,34033.29874769273,True,0.0,False,0.03798076923076923,40155.6,17.16051282051282,133852.0,0,FPO_B
6,F00015,28684.383695630673,15.27,34033.29874769273,True,0.0,False,0.03798076923076923,40155.6,17.16051282051282,133852.0,0,FPO_B
6,F00240,37583.33671561681,15.27,34033.29874769273,True,0.0,False,0.03798076923076923,40155.6,17.16051282051282,133852.0,0,FPO_B
7,F00118,20302.39433888636,19.95,38739.82973408614,True,0.0,False,0.019622093023255814,48583.80000000001,10.31503184713376,161946.00000000003,0,FPO_B
7,F00200,24173.06244362901,19.95,38739.82973408614,True,0.0,False,0.019622093023255814,48583.80000000001,10.31503184713376,161946.00000000003,0,FPO_B
7,F00159,77726.68009072967,19.95,38739.82973408614,True,0.0,False,0.019622093023255814,48583.80000000001,10.31503184713376,161946.00000000003,0,FPO_B
7,F00178,28930.568641874266,19.95,38739.82973408614,True,0.0,False,0.019622093023255814,48583.80000000001,10.31503184713376,161946.00000000003,0,FPO_B
7,F00015,31821.699293256384,19.95,38739.82973408614,True,0.0,False,0.019622093023255814,48583.80000000001,10.31503184713376,161946.00000000003,0,FPO_B
7,F00240,41351.36665641537,19.95,38739.82973408614,True,0.0,False,0.019622093023255814,48583.80000000001,10.31503184713376,161946.00000000003,0,FPO_B
7,F00175,46873.03667381193,19.95,38739.82973408614,True,0.0,False,0.019622093023255814,48583.80000000001,10.31503184713376,161946.00000000003,0,FPO_B
8,F00118,20900.399285218253,22.05,38529.99885148977,True,0.0,True,0.005,51285.0,8.633838383838384,170950.0,0,FPO_B
8,F00200,25519.869420868745,22.05,38529.99885148977,True,0.0,True,0.005,51285.0,8.633838383838384,170950.0,0,FPO_B
8,F00159,81722.9893186738,22.05,38529.99885148977,True,0.0,True,0.005,51285.0,8.633838383838384,170950.0,0,FPO_B
8,F00178,30055.099044778974,22.05,38529.99885148977,True,0.0,True,0.005,51285.0,8.633838383838384,170950.0,0,FPO_B
8,F00015,33680.988446364296,22.05,38529.99885148977,True,0.0,True,0.005,51285.0,8.633838383838384,170950.0,0,FPO_B
8,F00240,42950.1062346048,22.05,38529.99885148977,True,0.0,True,0.005,51285.0,8.633838383838384,170950.0,0,FPO_B
8,F00175,49001.337013365664,22.05,38529.99885148977,True,0.0,True,0.005,51285.0,8.633838383838384,170950.0,0,FPO_B
8,F00049,24409.20204804361,22.05,38529.99885148977,True,0.0,True,0.005,51285.0,8.633838383838384,170950.0,0,FPO_B
9,F00118,21745.380111494786,24.12,40056.28374973276,True,0.0,True,0.005,56742.0,9.006666666666666,189140.0,0,FPO_B
9,F00200,26421.830305082076,24.12,40056.28374973276,True,0.0,True,0.005,56742.0,9.006666666666666,189140.0,0,FPO_B
9,F00159,85150.22278081367,24.12,40056.28374973276,True,0.0,True,0.005,56742.0,9.006666666666666,189140.0,0,FPO_B
9,F00178,31838.220056865142,24.12,40056.28374973276,True,0.0,True,0.005,56742.0,9.006666666666666,189140.0,0,FPO_B
9,F00015,35148.19135908413,24.12,40056.28374973276,True,0.0,True,0.005,56742.0,9.006666666666666,189140.0,0,FPO_B
9,F00240,45943.84464661617,24.12,40056.28374973276,True,0.0,True,0.005,56742.0,9.006666666666666,189140.0,0,FPO_B
9,F00175,53068.57854972292,24.12,40056.28374973276,True,0.0,True,0.005,56742.0,9.006666666666666,189140.0,0,FPO_B
9,F00049,26106.231526234296,24.12,40056.28374973276,True,0.0,True,0.005,56742.0,9.006666666666666,189140.0,0,FPO_B
9,F00004,35084.05441168158,24.12,40056.28374973276,True,0.0,True,0.005,56742.0,9.006666666666666,189140.0,0,FPO_B
10,F00118,24940.63540933045,30.67,47486.0089490694,True,0.0,True,0.006,71221.8,9.850871369294605,237406.0,0,FPO_B
10,F00200,29316.214573750414,30.67,47486.0089490694,True,0.0,True,0.006,71221.8,9.850871369294605,237406.0,0,FPO_B
10,F00159,90773.2047570946,30.67,47486.0089490694,True,0.0,True,0.006,71221.8,9.850871369294605,237406.0,0,FPO_B
10,F00178,35356.80515938239,30.67,47486.0089490694,True,0.0,True,0.006,71221.8,9.850871369294605,237406.0,0,FPO_B
10,F00015,38621.459124427245,30.67,47486.0089490694,True,0.0,True,0.006,71221.8,9.850871369294605,237406.0,0,FPO_B
10,F00240,49435.23338566228,30.67,47486.0089490694,True,0.0,True,0.006,71221.8,9.850871369294605,237406.0,0,FPO_B
10,F00175,56279.173964767884,30.67,47486.0089490694,True,0.0,True,0.006,71221.8,9.850871369294605,237406.0,0,FPO_B
10,F00049,29032.674429151313,30.67,47486.0089490694,True,0.0,True,0.006,71221.8,9.850871369294605,237406.0,0,FPO_B
10,F00004,38768.913641726635,30.67,47486.0089490694,True,0.0,True,0.006,71221.8,9.850871369294605,237406.0,0,FPO_B
10,F00013,82335.7750454008,30.67,47486.0089490694,True,0.0,True,0.006,71221.8,9.850871369294605,237406.0,0,FPO_B
11,F00118,25400.29136296683,31.220000000000002,45984.42583381567,True,0.0,True,0.002,72256.8,9.830857142857143,240856.0,0,FPO_B
11,F00200,29988.344860441928,31.220000000000002,45984.42583381567,True,0.0,True,0.002,72256.8,9.830857142857143,240856.0,0,FPO_B
11,F00159,94302.14900889754,31.220000000000002,45984.42583381567,True,0.0,True,0.002,72256.8,9.830857142857143,240856.0,0,FPO_B
11,F00178,35957.7564692125,31.220000000000002,45984.42583381567,True,0.0,True,0.002,72256.8,9.830857142857143,240856.0,0,FPO_B
11,F00015,38874.12893989643,31.220000000000002,45984.42583381567,True,0.0,True,0.002,72256.8,9.830857142857143,240856.0,0,FPO_B
11,F00240,51353.43116086878,31.220000000000002,45984.42583381567,True,0.0,True,0.002,72256.8,9.830857142857143,240856.0,0,FPO_B
11,F00175,57617.3773206859,31.220000000000002,45984.42583381567,True,0.0,True,0.002,72256.8,9.830857142857143,240856.0,0,FPO_B
11,F00049,29196.536937295376,31.220000000000002,45984.42583381567,True,0.0,True,0.002,72256.8,9.830857142857143,240856.0,0,FPO_B
11,F00004,39998.3056949768,31.220000000000002,45984.42583381567,True,0.0,True,0.002,72256.8,9.830857142857143,240856.0,0,FPO_B
11,F00013,83655.9547156771,31.220000000000002,45984.42583381567,True,0.0,True,0.002,72256.8,9.830857142857143,240856.0,0,FPO_B
11,F00242,19484.407701053144,31.220000000000002,45984.42583381567,True,0.0,True,0.002,72256.8,9.830857142857143,240856.0,0,FPO_B
12,F00118,26831.151822623047,40.81,51730.90684954153,True,0.0,True,0.005,84692.4,9.80236111111111,282308.0,0,FPO_B
