coalition_size,coalition_value,avg_payoff,min_payoff,max_payoff,in_target_range
2,5878.214592111541,2939.107296055777,849.9793663062271,5028.235225805327,False
3,9316.944418959214,3105.648139653091,774.4561262601474,6981.5055720142,False
4,13701.385719173211,3425.3464297933133,830.1153965346803,8895.500557298341,False
5,21176.01807715033,4235.203615430068,878.7735523425586,13140.832499186972,False
6,25790.698364607888,4298.449727434657,842.6688462781442,15334.752460891541,False
7,31321.150067142305,4474.450009591755,933.0154172168619,16999.138223015172,False
8,41159.52743209747,5144.940929012186,993.3470406085971,19184.480316910987,True
9,49014.20090421371,5446.022322690415,1121.8602566405548,19663.004412849285,True
10,56490.95027737204,5649.095027737205,1207.5520636900096,20995.454101681353,True
11,69524.361122973,6320.396465724823,1223.3346936097996,21646.922300389702,True
12,73676.22277661295,6139.685231384415,1271.6151139570718,21398.2670857011,True
13,75389.3271321463,5799.179010165107,1263.1729683732258,21640.205014819814,True
14,79441.86788321687,5674.419134515495,1267.4589156966795,21791.587087965752,True
15,112509.44002666994,7500.629335111327,1342.165862713806,29377.302930586073,True
16,116914.83952629287,7307.177470393297,1371.6766171866896,29991.464075794243,True
17,130392.26307850481,7670.1331222649815,1337.0574248481937,30666.65290052517,True
18,136021.30794500804,7556.739330278218,1391.0950220895936,30360.13663591604,True
19,165621.17183066785,8716.903780561463,1455.7358445619416,30879.98560983938,True
20,168912.25279269883,8445.61263963494,1413.0214127958172,30803.528021137543,True
21,172708.7491719925,8224.22615104726,1435.4334459980678,30903.618187652835,True
22,174468.25954040687,7930.37543365485,1464.5459849504389,30949.555656272987,True
23,179194.38265976176,7791.060115641813,1488.3125473326193,30784.094526385783,True
24,202187.71744955174,8424.488227064656,1470.1231342561248,31062.17218430731,True
25,213411.26296124305,8536.450518449727,1515.1397789413252,31223.419637023686,True
26,218537.8183576052,8405.300706061736,1505.964718879649,31026.136336180156,True
27,225390.58289593825,8347.799366516228,1469.8539050751747,31650.44264328718,True
28,230827.95591434688,8243.855568369532,1502.7745462405983,31215.86462628274,True
29,235409.93682041913,8117.5840282903155,1542.7525715209092,31180.382439973793,True
30,268915.9250818223,8963.864169394075,1553.9638061110052,31930.74051517315,True
31,289390.7202184381,9335.18452317542,1524.5979490286004,31901.849342801983,True
32,292610.5217957448,9144.078806117024,1561.0760680638823,32335.511407821647,True
33,328737.3294192161,9961.73725512776,1578.3845602568053,34681.056275590825,True
34,333505.5427295552,9808.98655086927,1561.605609479229,34840.39726951576,True
35,340904.36139861785,9740.124611389077,1565.8000178047334,34298.531077853346,True
36,347755.78512590966,9659.882920164158,1592.2871674840562,34658.33613966351,True
37,351238.8136355616,9492.940909069235,1562.6153326414033,35196.408098612024,True
38,356067.24667370936,9370.19070193972,1560.0104510609008,35241.19423415594,True
39,368475.28400621127,9448.08420528747,1574.9879888782589,34582.69822170815,True
40,386480.5254166558,9662.013135416395,1592.9171229375377,35076.23175202785,True
