num_farmers,farmer_id,farmer_shapley,actual_area,avg_shapley,core_stable,blocking_probability,is_convex,convexity_violation_rate,avg_payoff_per_acre_small,avg_payoff_per_acre_medium,avg_payoff_per_acre_large,aggregator_profit,roi,total_project_profit,run_id,fpo_id
2,F00118,6121.6,2.2,7314.400000000001,True,0.0,True,0.0,6649.454545454545,0.0,0.0,3657.2000000000003,9.143,18286.0,0,FPO_B
2,F00200,8507.2,2.2,7314.400000000001,True,0.0,True,0.0,6649.454545454545,0.0,0.0,3657.2000000000003,9.143,18286.0,0,FPO_B
3,F00118,6121.600000000001,9.379999999999999,19654.933333333334,True,0.0,True,0.0,6649.454545454546,0.0,6174.930362116992,14741.2,14.452156862745099,73706.0,0,FPO_B
3,F00200,8507.2,9.379999999999999,19654.933333333334,True,0.0,True,0.0,6649.454545454546,0.0,6174.930362116992,14741.2,14.452156862745099,73706.0,0,FPO_B
3,F00159,44336.0,9.379999999999999,19654.933333333334,True,0.0,True,0.0,6649.454545454546,0.0,6174.930362116992,14741.2,14.452156862745099,73706.0,0,FPO_B
4,F00118,6121.599999999996,10.94,17784.8,True,0.0,True,0.0,7128.510638297871,0.0,6174.930362116992,17784.8,13.680615384615384,88924.0,0,FPO_B
4,F00200,8507.200000000004,10.94,17784.8,True,0.0,True,0.0,7128.510638297871,0.0,6174.930362116992,17784.8,13.680615384615384,88924.0,0,FPO_B
4,F00159,44336.0,10.94,17784.8,True,0.0,True,0.0,7128.510638297871,0.0,6174.930362116992,17784.8,13.680615384615384,88924.0,0,FPO_B
4,F00178,12174.399999999996,10.94,17784.8,True,0.0,True,0.0,7128.510638297871,0.0,6174.930362116992,17784.8,13.680615384615384,88924.0,0,FPO_B
5,F00118,6121.599999999989,12.53,17160.639999999992,True,0.0,True,0.0,7750.878504672889,0.0,6174.930362116992,21450.800000000003,15.322,107254.0,0,FPO_B
5,F00200,8507.199999999983,12.53,17160.639999999992,True,0.0,True,0.0,7750.878504672889,0.0,6174.930362116992,21450.800000000003,15.322,107254.0,0,FPO_B
5,F00159,44336.0,12.53,17160.639999999992,True,0.0,True,0.0,7750.878504672889,0.0,6174.930362116992,21450.800000000003,15.322,107254.0,0,FPO_B
5,F00178,12174.399999999989,12.53,17160.639999999992,True,0.0,True,0.0,7750.878504672889,0.0,6174.930362116992,21450.800000000003,15.322,107254.0,0,FPO_B
5,F00015,14664.0,12.53,17160.639999999992,True,0.0,True,0.0,7750.878504672889,0.0,6174.930362116992,21450.800000000003,15.322,107254.0,0,FPO_B
6,F00118,6121.600000000044,15.27,17846.93333333343,True,0.0,True,0.0,7750.878504672955,7765.839416058486,6174.930362116992,26770.4,17.16051282051282,133852.0,0,FPO_B
6,F00200,8507.200000000112,15.27,17846.93333333343,True,0.0,True,0.0,7750.878504672955,7765.839416058486,6174.930362116992,26770.4,17.16051282051282,133852.0,0,FPO_B
6,F00159,44336.0,15.27,17846.93333333343,True,0.0,True,0.0,7750.878504672955,7765.839416058486,6174.930362116992,26770.4,17.16051282051282,133852.0,0,FPO_B
6,F00178,12174.400000000163,15.27,17846.93333333343,True,0.0,True,0.0,7750.878504672955,7765.839416058486,6174.930362116992,26770.4,17.16051282051282,133852.0,0,FPO_B
6,F00015,14664.0,15.27,17846.93333333343,True,0.0,True,0.0,7750.878504672955,7765.839416058486,6174.930362116992,26770.4,17.16051282051282,133852.0,0,FPO_B
6,F00240,21278.400000000252,15.27,17846.93333333343,True,0.0,True,0.0,7750.878504672955,7765.839416058486,6174.930362116992,26770.4,17.16051282051282,133852.0,0,FPO_B
2,F00244,66846.4,11.33,43779.2,True,0.0,True,0.0,0.0,4643.946188340806,9730.189228529838,21889.6,21.460392156862742,109447.99999999999,1,FPO_B
2,F00021,20711.999999999993,11.33,43779.2,True,0.0,True,0.0,0.0,4643.946188340806,9730.189228529838,21889.6,21.460392156862742,109447.99999999999,1,FPO_B
3,F00244,66846.40000000001,12.34,31150.933333333338,True,0.0,True,0.0,5836.0396039603975,4643.946188340807,9730.189228529842,23363.2,18.54222222222222,116816.0,1,FPO_B
3,F00021,20711.999999999996,12.34,31150.933333333338,True,0.0,True,0.0,5836.0396039603975,4643.946188340807,9730.189228529842,23363.2,18.54222222222222,116816.0,1,FPO_B
3,F00011,5894.4000000000015,12.34,31150.933333333338,True,0.0,True,0.0,5836.0396039603975,4643.946188340807,9730.189228529842,23363.2,18.54222222222222,116816.0,1,FPO_B
4,F00244,66846.39999999998,15.01,26748.8,True,0.0,True,0.0,5836.0396039603975,4804.263674614307,9730.189228529836,26748.800000000003,14.860444444444445,133744.0,1,FPO_B
4,F00021,20712.0,15.01,26748.8,True,0.0,True,0.0,5836.0396039603975,4804.263674614307,9730.189228529836,26748.800000000003,14.860444444444445,133744.0,1,FPO_B
4,F00011,5894.4000000000015,15.01,26748.8,True,0.0,True,0.0,5836.0396039603975,4804.263674614307,9730.189228529836,26748.800000000003,14.860444444444445,133744.0,1,FPO_B
4,F00047,13542.400000000007,15.01,26748.8,True,0.0,True,0.0,5836.0396039603975,4804.263674614307,9730.189228529836,26748.800000000003,14.860444444444445,133744.0,1,FPO_B
5,F00244,66846.40000000015,16.3,22481.60000000003,True,0.0,True,0.0,4916.173913043487,4804.2636746143025,9730.189228529862,28102.0,14.790526315789474,140510.0,1,FPO_B
5,F00021,20712.0,16.3,22481.60000000003,True,0.0,True,0.0,4916.173913043487,4804.2636746143025,9730.189228529862,28102.0,14.790526315789474,140510.0,1,FPO_B
