num_farmers,farmer_id,farmer_shapley,actual_area,avg_shapley,core_stable,blocking_probability,is_convex,convexity_violation_rate,aggregator_profit,roi,total_project_profit,run_id,fpo_id
2,F00118,1591486.0898380482,2.2,1745899.7898380482,True,0.0,True,0.0,5485.8,9.143,18286.0,0,FPO_B
2,F00200,1900313.4898380481,2.2,1745899.7898380482,True,0.0,True,0.0,5485.8,9.143,18286.0,0,FPO_B
3,F00118,5451822.476048126,9.379999999999999,7683279.804691866,True,0.0,True,0.0,22111.8,14.452156862745099,73706.0,0,FPO_B
3,F00200,5984921.113397546,9.379999999999999,7683279.804691866,True,0.0,True,0.0,22111.8,14.452156862745099,73706.0,0,FPO_B
3,F00159,11613095.824629927,9.379999999999999,7683279.804691866,True,0.0,True,0.0,22111.8,14.452156862745099,73706.0,0,FPO_B
4,F00118,7294945.777799795,10.94,10137875.834988177,True,0.0,True,0.0,26677.2,13.680615384615384,88924.0,0,FPO_B
4,F00200,8077528.643468776,10.94,10137875.834988177,True,0.0,True,0.0,26677.2,13.680615384615384,88924.0,0,FPO_B
4,F00159,16335251.179705108,10.94,10137875.834988177,True,0.0,True,0.0,26677.2,13.680615384615384,88924.0,0,FPO_B
4,F00178,8843777.738979027,10.94,10137875.834988177,True,0.0,True,0.0,26677.2,13.680615384615384,88924.0,0,FPO_B
5,F00118,9394582.819762778,12.53,12975270.47589745,True,0.0,True,0.0,32176.199999999997,15.322,107254.0,0,FPO_B
5,F00200,10446972.718625927,12.53,12975270.47589745,True,0.0,True,0.0,32176.199999999997,15.322,107254.0,0,FPO_B
5,F00159,21548444.14466261,12.53,12975270.47589745,True,0.0,True,0.0,32176.199999999997,15.322,107254.0,0,FPO_B
5,F00178,11476994.824223753,12.53,12975270.47589745,True,0.0,True,0.0,32176.199999999997,15.322,107254.0,0,FPO_B
5,F00015,12009357.872212168,12.53,12975270.47589745,True,0.0,True,0.0,32176.199999999997,15.322,107254.0,0,FPO_B
6,F00118,12199349.652537188,15.27,16987937.533201702,True,0.0,True,0.0,40155.6,17.16051282051282,133852.0,0,FPO_B
6,F00200,13538799.25609725,15.27,16987937.533201702,True,0.0,True,0.0,40155.6,17.16051282051282,133852.0,0,FPO_B
6,F00159,27665861.627166234,15.27,16987937.533201702,True,0.0,True,0.0,40155.6,17.16051282051282,133852.0,0,FPO_B
6,F00178,14849461.200791761,15.27,16987937.533201702,True,0.0,True,0.0,40155.6,17.16051282051282,133852.0,0,FPO_B
6,F00015,15526729.786614392,15.27,16987937.533201702,True,0.0,True,0.0,40155.6,17.16051282051282,133852.0,0,FPO_B
6,F00240,18147423.676003385,15.27,16987937.533201702,True,0.0,True,0.0,40155.6,17.16051282051282,133852.0,0,FPO_B
7,F00118,15778396.120903146,19.95,22309217.91202631,True,0.0,True,0.0,48583.80000000001,10.31503184713376,161946.00000000003,0,FPO_B
7,F00200,17420020.31054475,19.95,22309217.91202631,True,0.0,True,0.0,48583.80000000001,10.31503184713376,161946.00000000003,0,FPO_B
7,F00159,34731983.51063719,19.95,22309217.91202631,True,0.0,True,0.0,48583.80000000001,10.31503184713376,161946.00000000003,0,FPO_B
7,F00178,19026098.943230025,19.95,22309217.91202631,True,0.0,True,0.0,48583.80000000001,10.31503184713376,161946.00000000003,0,FPO_B
7,F00015,19855902.943113394,19.95,22309217.91202631,True,0.0,True,0.0,48583.80000000001,10.31503184713376,161946.00000000003,0,FPO_B
7,F00240,23067430.208484933,19.95,22309217.91202631,True,0.0,True,0.0,48583.80000000001,10.31503184713376,161946.00000000003,0,FPO_B
7,F00175,26284693.347270712,19.95,22309217.91202631,True,0.0,True,0.0,48583.80000000001,10.31503184713376,161946.00000000003,0,FPO_B
8,F00118,17174981.865314003,22.05,24931057.288990438,True,0.0,True,0.004,51285.0,8.633838383838384,170950.0,0,FPO_B
8,F00200,19352693.21570561,22.05,24931057.288990438,True,0.0,True,0.004,51285.0,8.633838383838384,170950.0,0,FPO_B
8,F00159,40251052.64773738,22.05,24931057.288990438,True,0.0,True,0.004,51285.0,8.633838383838384,170950.0,0,FPO_B
8,F00178,21823065.310427353,22.05,24931057.288990438,True,0.0,True,0.004,51285.0,8.633838383838384,170950.0,0,FPO_B
8,F00015,22911478.078399222,22.05,24931057.288990438,True,0.0,True,0.004,51285.0,8.633838383838384,170950.0,0,FPO_B
8,F00240,27003158.48270809,22.05,24931057.288990438,True,0.0,True,0.004,51285.0,8.633838383838384,170950.0,0,FPO_B
8,F00175,30227273.78802242,22.05,24931057.288990438,True,0.0,True,0.004,51285.0,8.633838383838384,170950.0,0,FPO_B
8,F00049,20704754.923609436,22.05,24931057.288990438,True,0.0,True,0.004,51285.0,8.633838383838384,170950.0,0,FPO_B
9,F00118,20372928.34806238,24.12,28451000.034660704,True,0.0,True,0.002,56742.0,9.006666666666666,189140.0,0,FPO_B
9,F00200,22503781.06539926,24.12,28451000.034660704,True,0.0,True,0.002,56742.0,9.006666666666666,189140.0,0,FPO_B
9,F00159,46697017.65528808,24.12,28451000.034660704,True,0.0,True,0.002,56742.0,9.006666666666666,189140.0,0,FPO_B
9,F00178,24858505.244114123,24.12,28451000.034660704,True,0.0,True,0.002,56742.0,9.006666666666666,189140.0,0,FPO_B
9,F00015,25816467.002711654,24.12,28451000.034660704,True,0.0,True,0.002,56742.0,9.006666666666666,189140.0,0,FPO_B
