coalition_size,coalition_value,avg_payoff,min_payoff,max_payoff,in_target_range
2,2403.8043831406117,1201.9021915703127,99.899931035471,2303.904452105154,False
3,4555.796556983171,1518.5988523277247,158.99615438311065,3447.58300556462,False
4,7787.2587033516,1946.8146758379019,225.91505558946338,4864.843373904378,False
5,14199.209113337178,2839.841822667435,284.4187390828279,8412.415646751315,True
6,17818.06044020768,2969.6767400346125,304.13851704299435,10057.435506772286,True
7,22405.06114030909,3200.723020044154,319.60110638824324,12261.375094882536,True
8,31342.633242393724,3917.829155299215,364.93160990935553,15676.337739175437,True
9,38332.20534203066,4259.133926892299,432.993417198326,16647.094098420082,True
10,44974.38527136556,4497.438527136556,479.6626057901088,18294.16368881677,True
11,57199.77403731549,5199.979457937771,520.2181097170676,19452.46686553394,True
12,60567.00850234939,5047.250708529113,576.5722498518444,19115.70086680812,True
13,61516.33188494391,4732.025529611069,556.6963493487627,19315.571445436974,True
14,64823.84004041977,4630.274288601412,570.7848485903723,19578.737086074023,True
15,97163.37487791169,6477.558325194115,606.4602120006815,27374.908949100045,True
16,100856.24828503132,6303.515517814455,655.467527948793,28208.037054196873,True
17,113635.38647027555,6684.434498251499,641.0659663218215,29072.870045561973,True
18,118579.28836711604,6587.738242617556,699.2105987072463,28719.0490013545,True
19,147506.19396514332,7763.483892902275,726.5566083487704,29472.451448828047,True
20,150135.65980267705,7506.7829901338455,717.4857713684527,29464.644787311317,True
21,153281.1397252433,7299.10189167825,741.8417320456983,29365.509270275907,True
22,154399.56958227785,7018.162253739898,754.3396879618199,29493.27707766541,True
23,158493.95491415,6891.041518006518,777.868582509805,29385.803043695727,True
24,180864.36094096134,7536.015039206723,786.5188571145015,29802.053959780118,True
25,191473.3043451348,7658.932173805388,809.3161677169074,29914.128417211847,True
26,195993.14646770523,7538.197941065586,810.0420082617907,29729.723269865404,True
27,202246.6876302479,7490.618060379552,780.1776511087918,30426.120999175793,True
28,207091.96236154475,7396.1415129123125,827.9160432331929,29880.77444290642,True
29,211088.63535776385,7278.9184606125455,851.4229043141482,29984.873389589215,True
30,244015.79804210147,8133.8599347367135,865.8738738733841,30852.324483408338,True
31,263917.96561797644,8513.482761870206,845.5622471462851,30789.272337488903,True
32,266571.0745313816,8330.346079105679,891.1130828628915,31260.547890450707,True
33,302136.8802746087,9155.663038624507,883.750022174588,33670.680877182946,True
34,306349.55547650077,9010.281043426496,879.8217059130392,33804.88156704657,True
35,313198.0882345474,8948.516806701356,911.3494159617331,33167.34433189264,True
36,319504.28065218235,8875.11890700507,926.2638411910307,33604.7864332366,True
37,322446.94755105424,8714.782366244714,905.0596454478914,34236.2320886377,True
38,326739.7153331893,8598.41356139972,924.7133462225848,34209.18685467283,True
39,338616.6209721244,8682.477460823704,925.3478389760063,33409.96718070832,True
40,356095.11111546843,8902.37777788671,927.5886237126933,34137.36178632245,True
