beta,theta,is_convex,violation_rate,convexity_score
0.2,0.7,0.5555555555555556,0.030948288687971767,0.5555555555555556
0.2,0.71,0.5,0.02821071430068808,0.5
0.2,0.72,0.5,0.025644596711913173,0.5
0.2,0.73,0.5555555555555556,0.02369690812092773,0.5555555555555556
0.2,0.74,0.5,0.02477574960674596,0.5
0.2,0.75,0.6111111111111112,0.02080787505020861,0.6111111111111112
0.2,0.76,0.6111111111111112,0.02205319008186085,0.6111111111111112
0.2,0.77,0.5555555555555556,0.018219206620084413,0.5555555555555556
0.2,0.78,0.6666666666666666,0.015995463524248292,0.6666666666666666
0.2,0.79,0.6111111111111112,0.015898530418594257,0.6111111111111112
0.2,0.8,0.5,0.017669102116491538,0.5
0.2,0.81,0.6666666666666666,0.0146160518614064,0.6666666666666666
0.2,0.8200000000000001,0.5,0.015297165078001832,0.5
0.2,0.8300000000000001,0.6666666666666666,0.012979628501744325,0.6666666666666666
0.2,0.84,0.5555555555555556,0.013985160247700147,0.5555555555555556
0.2,0.85,0.6111111111111112,0.012261935152382029,0.6111111111111112
0.2,0.86,0.6666666666666666,0.011355098205445903,0.6666666666666666
0.2,0.87,0.6666666666666666,0.0097540483331922,0.6666666666666666
0.2,0.88,0.5555555555555556,0.010632501544494249,0.5555555555555556
0.2,0.89,0.6666666666666666,0.009302190759241602,0.6666666666666666
0.2,0.9,0.5555555555555556,0.010140476343166721,0.5555555555555556
0.21000000000000002,0.7,0.4444444444444444,0.029149729527494006,0.4444444444444444
0.21000000000000002,0.71,0.5555555555555556,0.027528223152225657,0.5555555555555556
0.21000000000000002,0.72,0.5555555555555556,0.024482135411370474,0.5555555555555556
0.21000000000000002,0.73,0.5,0.02367627092005797,0.5
0.21000000000000002,0.74,0.4444444444444444,0.02239623931299148,0.4444444444444444
0.21000000000000002,0.75,0.5,0.022106608885279655,0.5
0.21000000000000002,0.76,0.6111111111111112,0.01948902540287059,0.6111111111111112
0.21000000000000002,0.77,0.6111111111111112,0.01664095390811077,0.6111111111111112
0.21000000000000002,0.78,0.5,0.018669579083538272,0.5
0.21000000000000002,0.79,0.6111111111111112,0.01537979581555733,0.6111111111111112
0.21000000000000002,0.8,0.5555555555555556,0.015680266232306818,0.5555555555555556
0.21000000000000002,0.81,0.6666666666666666,0.014229038465672071,0.6666666666666666
0.21000000000000002,0.8200000000000001,0.5,0.014639566055577227,0.5
0.21000000000000002,0.8300000000000001,0.6111111111111112,0.013213635988658788,0.6111111111111112
0.21000000000000002,0.84,0.6666666666666666,0.011525728798443116,0.6666666666666666
0.21000000000000002,0.85,0.6111111111111112,0.011228073260107004,0.6111111111111112
0.21000000000000002,0.86,0.6666666666666666,0.010531413384668058,0.6666666666666666
0.21000000000000002,0.87,0.6666666666666666,0.009474493693172444,0.6666666666666666
0.21000000000000002,0.88,0.7222222222222222,0.008851854058904903,0.7222222222222222
0.21000000000000002,0.89,0.6666666666666666,0.009121125861606938,0.6666666666666666
0.21000000000000002,0.9,0.6111111111111112,0.009397126777142738,0.6111111111111112
0.22,0.7,0.5,0.026517427584744045,0.5
0.22,0.71,0.5555555555555556,0.025024232741258503,0.5555555555555556
