num_farmers,farmer_id,farmer_shapley,actual_area,avg_shapley,core_stable,blocking_probability,is_convex,convexity_violation_rate,aggregator_profit,roi,total_project_profit,run_id,fpo_id
2,F00118,0.0,2.2,0.0,True,0.0,True,0.0,3657.2000000000003,9.143,18286.0,0,FPO_B
2,F00200,0.0,2.2,0.0,True,0.0,True,0.0,3657.2000000000003,9.143,18286.0,0,FPO_B
3,F00118,3060.77215340715,9.379999999999999,11654.88350409575,True,0.0,False,0.027777777777777776,14741.2,14.452156862745099,73706.0,0,FPO_B
3,F00200,4253.57215340715,9.379999999999999,11654.88350409575,True,0.0,False,0.027777777777777776,14741.2,14.452156862745099,73706.0,0,FPO_B
3,F00159,27650.30620547295,9.379999999999999,11654.88350409575,True,0.0,False,0.027777777777777776,14741.2,14.452156862745099,73706.0,0,FPO_B
4,F00118,3294.358211005936,10.94,11784.74721968357,True,0.0,False,0.0661764705882353,17784.8,13.680615384615384,88924.0,0,FPO_B
4,F00200,4487.158211005939,10.94,11784.74721968357,True,0.0,False,0.0661764705882353,17784.8,13.680615384615384,88924.0,0,FPO_B
4,F00159,33036.71424571647,10.94,11784.74721968357,True,0.0,False,0.0661764705882353,17784.8,13.680615384615384,88924.0,0,FPO_B
4,F00178,6320.758211005934,10.94,11784.74721968357,True,0.0,False,0.0661764705882353,17784.8,13.680615384615384,88924.0,0,FPO_B
5,F00118,3840.7544688025755,12.53,12360.584810813541,True,0.0,False,0.12310606060606061,21450.800000000003,15.322,107254.0,0,FPO_B
5,F00200,5232.354468802577,12.53,12360.584810813541,True,0.0,False,0.12310606060606061,21450.800000000003,15.322,107254.0,0,FPO_B
5,F00159,36061.388161502146,12.53,12360.584810813541,True,0.0,False,0.12310606060606061,21450.800000000003,15.322,107254.0,0,FPO_B
5,F00178,7608.080144146876,12.53,12360.584810813541,True,0.0,False,0.12310606060606061,21450.800000000003,15.322,107254.0,0,FPO_B
5,F00015,9060.346810813537,12.53,12360.584810813541,True,0.0,False,0.12310606060606061,21450.800000000003,15.322,107254.0,0,FPO_B
6,F00118,4329.283554294661,15.27,13846.87609457009,True,0.0,False,0.2283653846153846,26770.4,17.16051282051282,133852.0,0,FPO_B
6,F00200,5999.203554294627,15.27,13846.87609457009,True,0.0,False,0.2283653846153846,26770.4,17.16051282051282,133852.0,0,FPO_B
6,F00159,38053.501769914415,15.27,13846.87609457009,True,0.0,False,0.2283653846153846,26770.4,17.16051282051282,133852.0,0,FPO_B
6,F00178,8708.158959501248,15.27,13846.87609457009,True,0.0,False,0.2283653846153846,26770.4,17.16051282051282,133852.0,0,FPO_B
6,F00015,10450.87895950116,15.27,13846.87609457009,True,0.0,False,0.2283653846153846,26770.4,17.16051282051282,133852.0,0,FPO_B
6,F00240,15540.22976991443,15.27,13846.87609457009,True,0.0,False,0.2283653846153846,26770.4,17.16051282051282,133852.0,0,FPO_B
7,F00118,4669.173401714275,19.95,15079.4838262164,True,0.0,False,0.34484011627906974,32389.200000000008,10.31503184713376,161946.00000000003,0,FPO_B
7,F00200,6498.13340171411,19.95,15079.4838262164,True,0.0,False,0.34484011627906974,32389.200000000008,10.31503184713376,161946.00000000003,0,FPO_B
