coalition_size,coalition_value,avg_payoff,min_payoff,max_payoff,in_target_range
2,2403.8043831406117,1201.9021915702394,103.43297737697156,2300.3714057635075,False
3,4555.796556983171,1518.5988523276399,179.20623066324063,3305.972940037914,False
4,7787.2587033516,1946.814675837883,229.74307582532708,4916.372598818125,False
5,14199.209113337178,2839.8418226674476,281.6418659946324,7961.899746507957,True
6,17818.06044020768,2969.6767400346434,309.62584962583753,9870.271485289284,True
7,22405.06114030909,3200.723020044157,336.8010861608205,12117.041446853054,True
8,31342.633242393724,3917.8291552992478,383.50591468086463,15254.043825564137,True
9,38332.20534203066,4259.133926892322,418.8502685354948,16789.044730229005,True
10,44974.38527136556,4497.43852713657,476.4541999362602,17844.406436924543,True
11,57199.77403731549,5199.979457937808,528.6802301566527,18949.390231824007,True
12,60567.00850234939,5047.250708529141,559.6016699274229,19235.399786138398,True
13,61516.33188494391,4732.025529611106,558.1816502992853,19470.675110291468,True
14,64823.84004041977,4630.2742886014385,585.1370971112426,19704.529556700374,True
15,97163.37487791169,6477.558325194111,626.6076106999616,27762.23560405752,True
16,100856.24828503132,6303.515517814447,648.4699071982118,28080.67410344583,True
17,113635.38647027555,6684.434498251489,673.9904823389161,28726.16383224621,True
18,118579.28836711604,6587.7382426175445,690.3817078373115,28816.028819978023,True
19,147506.19396514332,7763.4838929022635,722.7346907547586,29127.98721313554,True
20,150135.65980267705,7506.782990133844,736.0737383563011,29301.543796883787,True
21,153281.1397252433,7299.1018916782505,741.7891232273282,29381.867285656095,True
22,154399.56958227785,7018.162253739905,752.3778842329388,29556.732808453107,True
23,158493.95491415,6891.04151800652,766.9814327328639,29464.286643220865,True
24,180864.36094096134,7536.015039206715,791.4260003515682,29684.179248200726,True
25,191473.3043451348,7658.932173805396,805.6329948808296,29783.142274634003,True
26,195993.14646770523,7538.197941065585,813.5879925444046,29967.952743140428,True
27,202246.6876302479,7490.618060379553,824.6842672213767,30098.73809564423,True
28,207091.96236154475,7396.141512912304,831.6958006458578,30044.01643148314,True
29,211088.63535776385,7278.9184606125455,842.5322121291177,30302.450883817346,True
30,244015.79804210147,8133.859934736712,861.3147254272199,30806.326303631948,True
31,263917.96561797644,8513.482761870197,865.7095769037467,30802.29481992977,True
32,266571.0745313816,8330.346079105668,863.9932458261329,30835.660323844553,True
33,302136.8802746087,9155.663038624487,891.4054534042707,33560.85376361202,True
34,306349.55547650077,9010.281043426472,890.88639335993,33717.015578464954,True
35,313198.0882345474,8948.516806701338,893.3927037802804,33746.25774212728,True
36,319504.28065218235,8875.118907005039,905.6269607479646,33879.020121495334,True
37,322446.94755105424,8714.782366244688,916.6165900094791,33871.19262776017,True
38,326739.7153331893,8598.41356139968,917.6807500686176,33926.46492406475,True
39,338616.6209721244,8682.477460823673,924.0706352821165,33891.34408390108,True
40,356095.11111546843,8902.377777886673,940.1571477687804,33956.3528146526,True
