num_farmers,farmer_id,farmer_shapley,actual_area,avg_shapley,core_stable,blocking_probability,is_convex,convexity_violation_rate,aggregator_profit,roi,total_project_profit,run_id,fpo_id
2,F00118,1994.4489437230827,2.2,1994.4489437230827,True,0.0,True,0.0,5485.8,9.143,18286.0,0,FPO_B
2,F00200,1994.4489437230827,2.2,1994.4489437230827,True,0.0,True,0.0,5485.8,9.143,18286.0,0,FPO_B
3,F00118,8504.494308622701,9.379999999999999,18494.741836599027,True,0.0,False,0.027777777777777776,22111.8,14.452156862745099,73706.0,0,FPO_B
3,F00200,9730.583003850668,9.379999999999999,18494.741836599027,True,0.0,False,0.027777777777777776,22111.8,14.452156862745099,73706.0,0,FPO_B
3,F00159,37249.14819732371,9.379999999999999,18494.741836599027,True,0.0,False,0.027777777777777776,22111.8,14.452156862745099,73706.0,0,FPO_B
4,F00118,9341.510753256203,10.94,18972.447024156154,True,0.0,False,0.051470588235294115,26677.2,13.680615384615384,88924.0,0,FPO_B
4,F00200,11056.549488108045,10.94,18972.447024156154,True,0.0,False,0.051470588235294115,26677.2,13.680615384615384,88924.0,0,FPO_B
4,F00159,41979.77308643456,10.94,18972.447024156154,True,0.0,False,0.051470588235294115,26677.2,13.680615384615384,88924.0,0,FPO_B
4,F00178,13511.95476882581,10.94,18972.447024156154,True,0.0,False,0.051470588235294115,26677.2,13.680615384615384,88924.0,0,FPO_B
5,F00118,10356.5935380576,12.53,20155.29528773774,True,0.0,False,0.056818181818181816,32176.199999999997,15.322,107254.0,0,FPO_B
5,F00200,12381.620523257638,12.53,20155.29528773774,True,0.0,False,0.056818181818181816,32176.199999999997,15.322,107254.0,0,FPO_B
5,F00159,45697.67858771432,12.53,20155.29528773774,True,0.0,False,0.056818181818181816,32176.199999999997,15.322,107254.0,0,FPO_B
5,F00178,15237.42166533819,12.53,20155.29528773774,True,0.0,False,0.056818181818181816,32176.199999999997,15.322,107254.0,0,FPO_B
5,F00015,17103.162124320956,12.53,20155.29528773774,True,0.0,False,0.056818181818181816,32176.199999999997,15.322,107254.0,0,FPO_B
6,F00118,11790.224140639417,15.27,22792.140966112256,True,0.0,False,0.06394230769230769,40155.6,17.16051282051282,133852.0,0,FPO_B
6,F00200,14057.06737137532,15.27,22792.140966112256,True,0.0,False,0.06394230769230769,40155.6,17.16051282051282,133852.0,0,FPO_B
6,F00159,49397.20008127231,15.27,22792.140966112256,True,0.0,False,0.06394230769230769,40155.6,17.16051282051282,133852.0,0,FPO_B
6,F00178,17207.680881296084,15.27,22792.140966112256,True,0.0,False,0.06394230769230769,40155.6,17.16051282051282,133852.0,0,FPO_B
6,F00015,19251.723151124464,15.27,22792.140966112256,True,0.0,False,0.06394230769230769,40155.6,17.16051282051282,133852.0,0,FPO_B
6,F00240,25048.95017096594,15.27,22792.140966112256,True,0.0,False,0.06394230769230769,40155.6,17.16051282051282,133852.0,0,FPO_B
7,F00118,13442.454601336638,19.95,25879.44726720619,True,0.0,False,0.045421511627906974,48583.80000000001,10.31503184713376,161946.00000000003,0,FPO_B
7,F00200,15919.427648995746,19.95,25879.44726720619,True,0.0,False,0.045421511627906974,48583.80000000001,10.31503184713376,161946.00000000003,0,FPO_B
7,F00159,53124.54644844446,19.95,25879.44726720619,True,0.0,False,0.045421511627906974,48583.80000000001,10.31503184713376,161946.00000000003,0,FPO_B
7,F00178,19314.407689199124,19.95,25879.44726720619,True,0.0,False,0.045421511627906974,48583.80000000001,10.31503184713376,161946.00000000003,0,FPO_B
7,F00015,21502.011762245373,19.95,25879.44726720619,True,0.0,False,0.045421511627906974,48583.80000000001,10.31503184713376,161946.00000000003,0,FPO_B
7,F00240,27766.971842651874,19.95,25879.44726720619,True,0.0,False,0.045421511627906974,48583.80000000001,10.31503184713376,161946.00000000003,0,FPO_B
7,F00175,30086.310877570133,19.95,25879.44726720619,True,0.0,False,0.045421511627906974,48583.80000000001,10.31503184713376,161946.00000000003,0,FPO_B
8,F00118,14125.114737416896,22.05,25858.069384675226,True,0.0,False,0.016,51285.0,8.633838383838384,170950.0,0,FPO_B
8,F00200,16852.106636113156,22.05,25858.069384675226,True,0.0,False,0.016,51285.0,8.633838383838384,170950.0,0,FPO_B
8,F00159,55676.006288517296,22.05,25858.069384675226,True,0.0,False,0.016,51285.0,8.633838383838384,170950.0,0,FPO_B
8,F00178,20110.546821582862,22.05,25858.069384675226,True,0.0,False,0.016,51285.0,8.633838383838384,170950.0,0,FPO_B
8,F00015,22700.174254835518,22.05,25858.069384675226,True,0.0,False,0.016,51285.0,8.633838383838384,170950.0,0,FPO_B
8,F00240,29500.533807583957,22.05,25858.069384675226,True,0.0,False,0.016,51285.0,8.633838383838384,170950.0,0,FPO_B
8,F00175,32187.294515405254,22.05,25858.069384675226,True,0.0,False,0.016,51285.0,8.633838383838384,170950.0,0,FPO_B
8,F00049,15712.77801594687,22.05,25858.069384675226,True,0.0,False,0.016,51285.0,8.633838383838384,170950.0,0,FPO_B
9,F00118,15151.271883212874,24.12,27190.69011421797,True,0.0,False,0.01,56742.0,9.006666666666666,189140.0,0,FPO_B
9,F00200,18141.344736827927,24.12,27190.69011421797,True,0.0,False,0.01,56742.0,9.006666666666666,189140.0,0,FPO_B
9,F00159,58438.16083602096,24.12,27190.69011421797,True,0.0,False,0.01,56742.0,9.006666666666666,189140.0,0,FPO_B
9,F00178,21761.497216841464,24.12,27190.69011421797,True,0.0,False,0.01,56742.0,9.006666666666666,189140.0,0,FPO_B
9,F00015,24708.950669304035,24.12,27190.69011421797,True,0.0,False,0.01,56742.0,9.006666666666666,189140.0,0,FPO_B
9,F00240,30911.807884050464,24.12,27190.69011421797,True,0.0,False,0.01,56742.0,9.006666666666666,189140.0,0,FPO_B
9,F00175,33857.34922922578,24.12,27190.69011421797,True,0.0,False,0.01,56742.0,9.006666666666666,189140.0,0,FPO_B
9,F00049,17372.0010898465,24.12,27190.69011421797,True,0.0,False,0.01,56742.0,9.006666666666666,189140.0,0,FPO_B
