coalition_size,coalition_value,avg_payoff,min_payoff,max_payoff,in_target_range
2,0.0,0.0,0.0,0.0,False
3,0.0,0.0,0.0,0.0,False
4,0.0,0.0,0.0,0.0,False
5,0.0,0.0,0.0,0.0,False
6,0.0,0.0,0.0,0.0,False
7,0.0,0.0,0.0,0.0,False
8,0.0,0.0,0.0,0.0,False
9,0.0,0.0,0.0,0.0,False
10,0.0,0.0,0.0,0.0,False
11,0.0,0.0,0.0,0.0,False
12,0.0,0.0,0.0,0.0,False
13,0.0,0.0,0.0,0.0,False
14,0.0,0.0,0.0,0.0,False
15,0.0,0.0,0.0,0.0,False
16,1515.4803203213405,94.71752002008391,15.81308275537419,132.7155485244948,False
17,3964.079883885977,233.18116964035104,29.9085997262837,402.310801431222,False
18,5296.879472161371,294.2710817867423,35.8284054911952,508.59450226262163,False
19,7056.679082486652,371.40416223613903,42.93385761463137,697.4185905443924,False
20,8568.678712609455,428.43393563047323,50.04722002333115,794.1200271936829,False
21,12189.078360606285,580.4323028860153,59.80483950061953,1296.513877739626,False
22,14490.678024821433,658.6671829464307,67.77209183478448,1460.4872597581248,False
23,17511.877703819395,761.3859871225841,73.91776313449898,1693.6804972570642,False
24,19828.877396347507,826.2032248478145,79.67738172687187,1734.424985065025,False
25,21795.87710130606,871.835084052244,82.77876480950248,1833.6507713549975,False
26,25095.67681772443,965.2183391432493,87.52030903549935,1946.0383023323118,False
27,28063.676544741556,1039.395427583023,92.35506237435384,2106.341558236999,False
28,30319.076281590074,1082.8241529139327,95.48713211210061,2150.3099245244675,False
29,33350.07602758317,1150.0026216408005,100.36612215823237,2299.8492101590255,False
30,34659.075782103675,1155.3025260701236,99.25987905493349,2278.6750258185634,False
31,36680.675544594975,1183.2475982127428,102.36995079225868,2297.5119902526367,False
32,39122.27531455329,1222.5711035797922,103.69102164536183,2357.09403983395,False
33,43656.87509152126,1322.9356088339787,110.4131107247519,3088.9612122192334,False
34,45770.874875082285,1346.2022022083033,108.5838741536599,3154.571563795288,False
35,49903.674664855964,1425.8192761387418,112.98377950695188,3177.649046499772,False
36,53123.674460493916,1475.657623902609,114.69305935849576,3259.28214119132,False
37,56520.074261676295,1527.5695746398987,117.08141297654726,3316.094911914104,False
38,59139.47406810881,1556.3019491607552,116.74906086864735,3431.692182242093,False
39,61124.67387951996,1567.2993302440987,119.19811738910659,3430.4602032649523,False
40,64767.47369565891,1619.1868423914693,121.29431013218469,3445.9526327482777,False
