coalition_size,coalition_value,avg_payoff,min_payoff,max_payoff,in_target_range
2,565918.5525319407,282959.27626597165,130827.96308622496,435090.58944571833,False
3,696369.7229561921,232123.24098539844,122525.06202753237,438547.6363423723,False
4,765144.342137093,191286.08553427376,62947.384225304246,440238.06288542424,False
5,781783.1972411395,156356.63944822835,13064.757046397375,441886.9522012176,False
6,843409.5186095199,140568.25310158698,14032.823447930208,441883.8257560547,False
7,895419.3393842884,127917.04848347002,14601.575858980055,442809.3745357487,False
8,958655.0316675659,119831.87895844602,14805.206734347623,443128.46781417093,False
9,1009017.7773495311,112113.08637217034,14774.754069236777,443522.40198372595,False
10,1054823.0972665465,105482.30972665483,15009.218045584834,443856.49251033185,False
11,1080005.6090621855,98182.32809656252,14913.77985457138,443948.9080218267,False
12,1102378.6005366903,91864.88337805773,15147.767866334101,444181.0955435187,False
13,1128162.011961993,86781.69322784577,15383.781015462293,444014.0059836063,False
14,1161125.8238822597,82937.55884873297,15215.954289086158,444474.37046917004,False
15,1178616.4484251065,78574.4298950073,15765.762871225097,444336.55162881606,False
16,1222859.1229449117,76428.69518405711,15741.204810075902,444461.534437015,False
17,1246962.105264777,73350.71207439876,15656.298262327953,444132.7147149457,False
18,1278453.4700441973,71025.19278023328,15891.531284372586,444684.31130360084,False
19,1304688.3059580743,68667.80557674085,15758.463147708399,444684.79584606725,False
20,1334611.1134724924,66730.55567362474,15706.110496174415,444864.9744344225,False
21,1361317.0030673821,64824.61919368494,15896.014772772305,444611.8577478961,False
22,1394083.6937992,63367.440627236414,15798.173498427734,445254.86399989517,False
23,1416269.312126032,61576.92661417536,15658.506412098302,445099.7892976766,False
24,1454545.1909378488,60606.049622410406,16065.833420420428,444701.81528544903,False
25,1476435.4687490072,59057.41874996033,15735.371732252841,444992.0945892167,False
26,1498552.4890204458,57636.634193094105,16079.36975552469,445064.515050073,False
27,1514958.7995865287,56109.58516987149,15747.07908663784,445235.5910020821,False
28,1532122.3521671097,54718.65543453968,15755.424223451348,445069.4486123199,False
29,1554615.5019495408,53607.43110170833,15825.464062668454,445130.12117232586,False
30,1562920.807228531,52097.360240951086,7934.4544120914625,445078.789009955,False
31,1592640.2290941833,51375.491261102725,7953.919592728583,445086.2300544343,False
32,1603439.7311604172,50107.49159876307,8071.040675406571,445140.39693392575,False
33,1621321.4793274484,49130.95391901362,8073.880193468772,445217.76985315105,False
34,1634645.8415731457,48077.81886979846,7934.668005939821,445223.4815411341,False
35,1651328.387769018,47180.811079114865,8084.241048147356,445261.4577221847,False
36,1654837.8895172884,45967.71915325805,3340.729334467428,445128.5023911312,False
37,1677741.120006131,45344.354594760356,3409.8623140759473,445157.4656650304,False
38,1682004.2538806042,44263.26983896331,3361.7405750738276,445027.0081575561,False
39,1693247.2671272093,43416.5965930054,3325.653923420365,445171.3191790273,False
40,1697446.3369703244,42436.15842425814,3384.7694887703165,445147.9234602763,False
